id,mensaje,url,leida,creada_en,usuario_id
1,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.305404+00:00,7
2,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329569+00:00,4
3,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329606+00:00,5
4,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329631+00:00,6
5,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329649+00:00,1
6,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329667+00:00,8
7,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/17/,False,2025-06-12 23:53:20.329684+00:00,9
8,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.791256+00:00,7
9,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805308+00:00,4
10,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805356+00:00,5
11,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805379+00:00,6
12,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805404+00:00,1
13,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805430+00:00,8
14,Nueva observación pendiente (SSO-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/18/,False,2025-06-13 00:12:04.805452+00:00,9
15,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.286581+00:00,7
16,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294343+00:00,4
17,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294371+00:00,5
18,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294386+00:00,6
19,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294398+00:00,1
20,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294412+00:00,8
21,Nueva observación pendiente (SSO-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/19/,False,2025-06-13 00:46:57.294424+00:00,9
22,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.669835+00:00,7
23,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.681536+00:00,4
24,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.681562+00:00,5
25,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.681582+00:00,6
26,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.681594+00:00,1
27,Nueva observación pendiente (SSO-003) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/ssoma/ver/20/,False,2025-06-13 02:08:02.681607+00:00,8
