id,imagen,orden,descripcion,reporte_id
31,fotos/descarga_1_kOXQzH6.jpeg,0,,14
32,fotos/descarga_6_qNvm6nm.jpeg,0,,15
35,fotos/WhatsApp_Image_2025-05-22_at_11.22.20_AM.jpeg,0,Visita de nuestro KP2 SSOMA,17
36,fotos/WhatsApp_Image_2025-05-22_at_12.24.12_PM.jpeg,0,Observación de pintura,17
41,fotos/descarga_3_e7AfRns.jpeg,0,,20
45,fotos/WhatsApp_Image_2025-02-17_at_5.22.33_PM.jpeg,0,Curva S,23
46,fotos/WhatsApp_Image_2025-02-17_at_5.18.16_PM.jpeg,0,,23
47,fotos/image_4.png,0,,23
48,fotos/image_3.png,0,,23
49,fotos/image_2.png,0,,23
50,fotos/image_1.png,0,,23
51,fotos/image.png,0,Revalidación de licencia,24
52,fotos/WhatsApp_Image_2024-11-26_at_4.06.41_PM.jpeg,0,Sótano 3 - vaciado de losa,24
53,fotos/WhatsApp_Image_2024-11-26_at_4.06.42_PM.jpeg,0,sótano 04 - vaciado de verticales,24
33,fotos/descarga_dJqqTgW.jpeg,0,rest,16
34,fotos/descarga_5_6B59ViD.jpeg,0,test,16
37,fotos/departamentos-magdalena-del-mar-66bd0dd1348d9_b.jpg,0,test,16
40,fotos/jlvconsultores-fotos-varias-mod-0005_YznOAMe.jpg,0,test,16
